Line,Route,Direction,Municipality,On Street,At Street,Time Point - Description,Stop ID/Stop Num
770,770,Inbound,PATERSON,BROADWAY,MEMORIAL DR,PATERSON - BROADWAY at MEMORIAL DR,27249
770,770,Inbound,PATERSON,BROADWAY,STRAIGHT ST,PATERSON - BROADWAY at STRAIGHT ST,27250
770,770,Inbound,PATERSON,BROADWAY,SUMMER ST,PATERSON - BROADWAY at SUMMER ST,27251
770,770,Inbound,PATERSON,BROADWAY,CARROLL ST,PATERSON - BROADWAY at CARROLL ST,27252
770,770,Inbound,PATERSON,BROADWAY,ROSA PARKS BLVD,PATERSON - BROADWAY at ROSA PARKS BLVD,27253
770,770,Inbound,PATERSON,BROADWAY,EAST 18TH ST,PATERSON - BROADWAY at EAST 18TH ST,27254
770,770,Inbound,PATERSON,BROADWAY,EAST 25TH ST,PATERSON - BROADWAY at EAST 25TH ST,27255
770,770,Inbound,PATERSON,BROADWAY,EAST 27TH ST,PATERSON - BROADWAY at EAST 27TH ST,27256
770,770,Inbound,PATERSON,BROADWAY,EAST 30TH ST,PATERSON - BROADWAY at EAST 30TH ST,27257
770,770,Outbound,PATERSON,BROADWAY,EAST 30TH ST,PATERSON - BROADWAY at EAST 30TH ST,27259
770,770,Outbound,PATERSON,BROADWAY,EAST 27TH ST,PATERSON - BROADWAY at EAST 27TH ST,27260
770,770,Outbound,PATERSON,BROADWAY,EAST 25TH ST,PATERSON - BROADWAY at EAST 25TH ST,27261
770,770,Outbound,PATERSON,BROADWAY,EAST 23RD ST,PATERSON - BROADWAY at EAST 23RD ST,27262
770,770,Outbound,PATERSON,BROADWAY,EAST 18TH ST,PATERSON - BROADWAY at EAST 18TH ST,27263
770,770,Outbound,PATERSON,BROADWAY,ROSA PARKS BLVD,PATERSON - BROADWAY at ROSA PARKS BLVD,27264
770,770,Outbound,PATERSON,BROADWAY,CARROLL ST,PATERSON - BROADWAY at CARROLL ST,27265
770,770,Outbound,PATERSON,BROADWAY,SUMMER ST,PATERSON - BROADWAY at SUMMER ST,27266
770,770,Outbound,PATERSON,BROADWAY,STRAIGHT ST,PATERSON - BROADWAY at STRAIGHT ST,27267
770,770,Inbound,PATERSON,EAST 33RD ST,11TH AVE,PATERSON - EAST 33RD ST at 11TH AVE,27279
770,770,Outbound,PATERSON,EAST 33RD ST,12TH AVE,PATERSON - EAST 33RD ST at 12TH AVE,27283
770,770,Outbound,PATERSON,MAIN ST,VAN HOUTEN ST,PATERSON - MAIN ST at VAN HOUTEN ST,27343
770,770,Outbound,PATERSON,MEMORIAL DR,PATERSON ST,PATERSON - MEMORIAL DR at PATERSON ST,27418
770,770,Outbound,HACKENSACK,PASSAIC ST,SUMMIT AVE,HACKENSACK - PASSAIC ST at SUMMIT AVE,31485
770,770,Inbound,PARAMUS,GARDEN STATE PLAZA BLVD,GARDEN STATE PLAZA WAY (277' E ),PARAMUS - GARDEN STATE PLAZA BLVD at GARDEN STATE PLAZA WAY (277' E ),32127
770,770,Outbound,PARAMUS,GARDEN STATE PLAZA BLVD,GARDEN STATE PLAZA WAY (277' E ),PARAMUS - GARDEN STATE PLAZA BLVD at GARDEN STATE PLAZA WAY (277' E ),32128
770,770,Inbound,MAYWOOD,PASSAIC ST,ELIZABETH CT,MAYWOOD - PASSAIC ST at ELIZABETH CT,32222
770,770,Inbound,HACKENSACK,E ATLANTIC ST,MAIN ST (35'  ),HACKENSACK - E ATLANTIC ST at MAIN ST (35'  ),32695
770,770,Inbound,HACKENSACK,STATE ST,LAWRENCE ST,HACKENSACK - STATE ST at LAWRENCE ST,32728
770,770,Outbound,HACKENSACK,BRIDGE ST,MAIN ST,HACKENSACK - BRIDGE ST at MAIN ST,32733
770,770,Outbound,PARAMUS,PARAMUS RD,ARCADIAN AVE,PARAMUS - PARAMUS RD at ARCADIAN AVE,13178
772,772,Outbound,BERGENFIELD,WASHINGTON AVE,EAST MAIN ST,BERGENFIELD - WASHINGTON AVE at EAST MAIN ST,11042
772,772,Inbound,BERGENFIELD,WASHINGTON AVE,WEST MAIN ST,BERGENFIELD - WASHINGTON AVE at WEST MAIN ST,11050
772,772,Outbound,CARLSTADT,CENTRAL BLVD,COMMERCE BLVD,CARLSTADT - CENTRAL BLVD at COMMERCE BLVD,11082
772,772,Inbound,CARLSTADT,CENTRAL BLVD,COMMERCE BLVD,CARLSTADT - CENTRAL BLVD at COMMERCE BLVD,11082
772,772,Outbound,CARLSTADT,RT-120,GOTHAM PKWY. (986' S ),CARLSTADT - RT-120 at GOTHAM PKWY. (986' S ),11105
772,772,Outbound,DUMONT,WASHINGTON AVE,EAST QUACKENBUSH AVE,DUMONT - WASHINGTON AVE at EAST QUACKENBUSH AVE,11292
772,772,Inbound,DUMONT,WASHINGTON AVE,MADISON AVE,DUMONT - WASHINGTON AVE at MADISON AVE,11309
772,772,Inbound,EAST RUTHERFORD,RT-120,GOTHAM PARKWAY (986' S ),EAST RUTHERFORD - RT-120 at GOTHAM PARKWAY (986' S ),11337
772,772,Outbound,EAST RUTHERFORD,ARENA ROAD,AMERCIAN DREAM BUS STOP,EAST RUTHERFORD - ARENA ROAD at AMERCIAN DREAM BUS STOP,31271
772,772,Inbound,EAST RUTHERFORD,ARENA ROAD,AMERCIAN DREAM BUS STOP,EAST RUTHERFORD - ARENA ROAD at AMERCIAN DREAM BUS STOP,31271
772,772,Outbound,EAST RUTHERFORD,ARENA ROAD,AMERCIAN DREAM BUS STOP,EAST RUTHERFORD - ARENA ROAD at AMERCIAN DREAM BUS STOP,31271
772,772,Inbound,EAST RUTHERFORD,ARENA ROAD,AMERCIAN DREAM BUS STOP,EAST RUTHERFORD - ARENA ROAD at AMERCIAN DREAM BUS STOP,31271
772,772,Outbound,HACKENSACK,HACKENSACK BUS TERMINAL,LOCATION 2,HACKENSACK - HACKENSACK BUS TERMINAL at LOCATION 2,12129
772,772,Outbound,HACKENSACK,MAIN ST,ANDERSON ST,HACKENSACK - MAIN ST at ANDERSON ST,12155
772,772,Inbound,HACKENSACK,MAIN ST,ANDERSON ST (105' S ),HACKENSACK - MAIN ST at ANDERSON ST (105' S ),12172
772,772,Inbound,HACKENSACK,HACKENSACK BUS TERMINAL,LOCATION 1,HACKENSACK - HACKENSACK BUS TERMINAL at LOCATION 1,31669
772,772,Inbound,LITTLE FERRY,MAIN ST,LIBERTY ST,LITTLE FERRY - MAIN ST at LIBERTY ST,12452
772,772,Outbound,LITTLE FERRY,MAIN ST,LIBERTY ST,LITTLE FERRY - MAIN ST at LIBERTY ST,12453
772,772,Inbound,NEW MILFORD,MADISON AVE,RIVER RD,NEW MILFORD - MADISON AVE at RIVER RD,12767
772,772,Outbound,NEW MILFORD,MADISON AVE,CHARLES ST,NEW MILFORD - MADISON AVE at CHARLES ST,32665
772,772,Outbound,PARAMUS,BERGEN COUNTY COMMUNITY COLLEGE,STUDENT CENTER  BUS STOP,PARAMUS - BERGEN COUNTY COMMUNITY COLLEGE at STUDENT CENTER  BUS STOP,13002
772,772,Inbound,PARAMUS,BERGEN COUNTY COMMUNITY COLLEGE,STUDENT CENTER  BUS STOP,PARAMUS - BERGEN COUNTY COMMUNITY COLLEGE at STUDENT CENTER  BUS STOP,13002
772,772,Inbound,PARAMUS,BERGEN COUNTY COMMUNITY COLLEGE,BUS STOP OPPOSITE ENDER HALL,PARAMUS - BERGEN COUNTY COMMUNITY COLLEGE at BUS STOP OPPOSITE ENDER HALL,13003
772,772,Outbound,PARAMUS,E RIDGEWOOD AVE,PASCACK RD (705' W ),PARAMUS - E RIDGEWOOD AVE at PASCACK RD (705' W ),32745
772,772,Inbound,PARAMUS,E RIDGEWOOD AVE,PASCACK RD (705' W ),PARAMUS - E RIDGEWOOD AVE at PASCACK RD (705' W ),32745
772,772,Outbound,PARAMUS,BERGEN COUNTY COMMUNITY COLLEGE,ENDER HALL (BUILDING E) (0'  ),PARAMUS - BERGEN COUNTY COMMUNITY COLLEGE at ENDER HALL (BUILDING E) (0'  ),30436
772,772,Outbound,SOUTH HACKENSACK TWP,HUYLER ST,RUTA CT,SOUTH HACKENSACK TWP - HUYLER ST at RUTA CT,13922
772,772,Outbound,TEANECK TWP,CEDAR LN,CHADWICK RD,TEANECK TWP - CEDAR LN at CHADWICK RD,13631
772,772,Inbound,TEANECK TWP,CEDAR LN,TEANECK RD (100' W ),TEANECK TWP - CEDAR LN at TEANECK RD (100' W ),13632
772,772,Outbound,TEANECK TWP,TEANECK RD,LIBERTY RD,TEANECK TWP - TEANECK RD at LIBERTY RD,13772
772,772,Inbound,TEANECK TWP,TEANECK RD,LIBERTY RD,TEANECK TWP - TEANECK RD at LIBERTY RD,13773
772,772,Inbound,TETERBORO,HUYLER ST,RUTA CT,TETERBORO - HUYLER ST at RUTA CT,13921
772,772,Outbound,BERGENFIELD,WASHINGTON AVE,SYLVAN AVE,BERGENFIELD - WASHINGTON AVE at SYLVAN AVE,11036
